measure_id,measure_name,category,description,typical_cost_eur_m2,labor_percentage,material_cost_eur_m2,expected_savings_pct,lifespan_years,kfw_eligible,bafa_eligible,kfw_subsidy_rate,bafa_subsidy_rate,installation_time_days,disruption_level,prerequisites,co2_reduction_kg_m2
MEAS-001,Facade insulation 16cm EPS,Envelope,External thermal insulation composite system with 16cm expanded polystyrene and mineral render,145.00,45.0,79.75,25.0,40,TRUE,TRUE,20.0,15.0,14,High,None,15.5
MEAS-002,Facade insulation 20cm mineral wool,Envelope,External thermal insulation composite system with 20cm mineral wool and silicate render,165.00,45.0,90.75,28.0,40,TRUE,TRUE,20.0,15.0,16,High,None,17.2
MEAS-003,Roof insulation 24cm,Envelope,Pitched roof insulation with 24cm mineral wool between and on rafters,95.00,40.0,57.00,18.0,40,TRUE,TRUE,20.0,15.0,10,Medium,None,11.8
MEAS-004,Roof insulation 30cm (flat roof),Envelope,Flat roof insulation with 30cm EPS and waterproof membrane,125.00,38.0,77.50,20.0,30,TRUE,TRUE,20.0,15.0,8,Low,None,13.2
MEAS-005,Basement ceiling insulation 12cm,Envelope,Basement ceiling insulation with 12cm polystyrene panels,45.00,25.0,33.75,8.0,40,TRUE,TRUE,20.0,15.0,5,Low,None,5.2
MEAS-006,Window replacement - double glazing,Envelope,PVC windows with double glazing (Ug=1.1 W/m²K),450.00,30.0,315.00,12.0,30,TRUE,TRUE,20.0,15.0,7,Medium,None,7.8
MEAS-007,Window replacement - triple glazing,Envelope,PVC windows with triple glazing (Ug=0.7 W/m²K),550.00,30.0,385.00,15.0,35,TRUE,TRUE,20.0,15.0,7,Medium,None,9.5
MEAS-008,Air-source heat pump,Heating,Air-to-water heat pump 8-12kW with buffer tank and distribution upgrades,28000.00,35.0,18200.00,40.0,20,TRUE,TRUE,20.0,30.0,12,High,Insulation recommended,35.0
MEAS-009,Ground-source heat pump,Heating,Brine-to-water heat pump with vertical boreholes (80-100m depth),45000.00,40.0,27000.00,45.0,25,TRUE,TRUE,20.0,35.0,20,High,Insulation required,42.0
MEAS-010,Gas condensing boiler upgrade,Heating,High-efficiency gas condensing boiler replacement,6500.00,30.0,4550.00,15.0,20,FALSE,TRUE,0.0,15.0,3,Low,None,8.5
MEAS-011,District heating connection,Heating,Connection to district heating network with heat transfer station,12000.00,40.0,7200.00,25.0,30,FALSE,TRUE,0.0,30.0,8,Medium,Network availability required,18.0
MEAS-012,Ventilation with heat recovery,Ventilation,Decentralized ventilation system with 85% heat recovery efficiency,8500.00,35.0,5525.00,10.0,20,TRUE,TRUE,20.0,15.0,6,Medium,None,6.5
MEAS-013,Smart thermostat system,Controls,Smart heating controls with room-by-room temperature management,2500.00,20.0,2000.00,8.0,15,FALSE,FALSE,0.0,0.0,2,Low,None,5.0
MEAS-014,Hydraulic balancing,Optimization,Professional hydraulic balancing of heating distribution system,1200.00,80.0,240.00,5.0,10,TRUE,TRUE,20.0,15.0,2,Low,None,3.2
MEAS-015,Solar thermal system,Renewables,Solar thermal collectors (8-12m²) for domestic hot water,9500.00,30.0,6650.00,15.0,25,TRUE,TRUE,20.0,25.0,5,Low,South-facing roof required,10.5
MEAS-016,PV solar panels 6kWp,Renewables,Photovoltaic system 6kWp with inverter and mounting,12000.00,25.0,9000.00,0.0,30,FALSE,FALSE,0.0,0.0,4,Low,Suitable roof required,0.0
MEAS-017,Entrance door insulated,Envelope,Insulated entrance door with thermal break (Ud=0.9 W/m²K),2800.00,25.0,2100.00,2.0,30,TRUE,TRUE,20.0,15.0,1,Low,None,1.2
MEAS-018,Thermal bridge treatment,Envelope,Thermal bridge correction at building junctions and penetrations,85.00,60.0,34.00,5.0,40,TRUE,TRUE,20.0,15.0,8,Medium,Facade work recommended,3.5
MEAS-019,Pipe insulation upgrade,Optimization,Insulation of heating and hot water pipes in unheated spaces,25.00,20.0,20.00,3.0,25,TRUE,TRUE,20.0,15.0,3,Low,None,2.0
MEAS-020,Hot water heat pump,Heating,Domestic hot water heat pump (standalone),4500.00,25.0,3375.00,8.0,15,FALSE,TRUE,0.0,25.0,2,Low,None,5.5
MEAS-021,Building automation system,Controls,Complete BMS with zone control and weather compensation,15000.00,40.0,9000.00,12.0,20,TRUE,FALSE,20.0,0.0,8,Medium,None,7.8
MEAS-022,Facade insulation 12cm (budget),Envelope,External thermal insulation with 12cm EPS (economical option),110.00,45.0,60.50,20.0,35,TRUE,TRUE,20.0,15.0,12,High,None,12.5
MEAS-023,Roof insulation 18cm (budget),Envelope,Pitched roof insulation with 18cm mineral wool (economical),75.00,40.0,45.00,15.0,35,TRUE,TRUE,20.0,15.0,8,Medium,None,9.5
MEAS-024,Window renovation with film,Envelope,Window renovation with energy film and seal replacement,85.00,40.0,51.00,5.0,10,FALSE,FALSE,0.0,0.0,3,Low,None,3.2
MEAS-025,Air-to-air heat pump (mini-split),Heating,Ductless mini-split heat pump system for individual apartments,3800.00,30.0,2660.00,25.0,15,FALSE,TRUE,0.0,30.0,2,Low,None,18.0
